,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 153,"After fleeing Liberia to the United States in 2003, Harry remains acutely aware of the severe conditions that he fled and has served the people in his home country in tremendous ways.","('Human_Rights_And_Community_Relations', 0.3063308596611023)","('Employee_Health_And_Safety', 0.22276100516319275)","('Employee_Engagement_Inclusion_And_Diversity', 0.09161041676998138)","('NON-ESG', 0.3063308596611023)","('NON-ESG', 0.22276100516319275)","('NON-ESG', 0.09161041676998138)"
Line 154,"Drawing on his supply chain experience and passion for serving others, Harry has improved the well-being of hundreds of Liberians who continue to face hardships today.","('Supply_Chain_Management', 0.8997926115989685)","('Labor_Practices', 0.010107974521815777)","('Employee_Health_And_Safety', 0.008697516284883022)","([], 0.8997926115989685)","('NON-ESG', 0.010107974521815777)","('NON-ESG', 0.008697516284883022)"
Line 155,LEARN MORE 23Advancing environmental justice and a greener world.,"('Human_Rights_And_Community_Relations', 0.22693070769309998)","('Ecological_Impacts', 0.19980917870998383)","('Business_Model_Resilience', 0.12723559141159058)","('NON-ESG', 0.22693070769309998)","('NON-ESG', 0.19980917870998383)","('NON-ESG', 0.12723559141159058)"
Line 156,"Chapter 4 Planet ProtectionI Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection 3 11 13 15Related Sustainable Development GoalsGoal: Planting 50 million trees by 2030 22M trees planted across 6 continents and 60+ countries since 20123.2M trees planted around the world in 2021 24I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection Creating a flowering forest to honor Congressman John Lewis legacy To honor the late Congressman Lewis, The UPS Foundation is supporting the creation of a living tree memorial in Freedom Park in Atlanta, Georgia.","('Human_Rights_And_Community_Relations', 0.9138827323913574)","('Access_And_Affordability', 0.023157840594649315)","('Ecological_Impacts', 0.007307248190045357)","(['Stakeholder Engagement'], 0.9138827323913574)","('NON-ESG', 0.023157840594649315)","('NON-ESG', 0.007307248190045357)"
Line 157,"Chapter 4 Planet ProtectionI Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection 3 11 13 15Related Sustainable Development GoalsGoal: Planting 50 million trees by 2030 22M trees planted across 6 continents and 60+ countries since 20123.2M trees planted around the world in 2021 24I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection Creating a flowering forest to honor Congressman John Lewis legacy To honor the late Congressman Lewis, The UPS Foundation is supporting the creation of a living tree memorial in Freedom Park in Atlanta, Georgia.","('Ecological_Impacts', 0.19993913173675537)","('Employee_Health_And_Safety', 0.1549285650253296)","('Waste_And_Hazardous_Materials_Management', 0.10001858323812485)","('NON-ESG', 0.19993913173675537)","('NON-ESG', 0.1549285650253296)","('NON-ESG', 0.10001858323812485)"
Line 158,"UPS volunteers joined others in planting hundreds of blooming plants, including more than 300 trees, colorful flowering shrubs, and fields of daffodils in the first phase of this multi-year project.","('Ecological_Impacts', 0.8574206829071045)","('Access_And_Affordability', 0.018492339178919792)","('Water_And_Wastewater_Management', 0.012100128456950188)","([], 0.8574206829071045)","('NON-ESG', 0.018492339178919792)","('NON-ESG', 0.012100128456950188)"
Line 159,The flowering trees that will surround the Plaza will remove 100 metric tons of CO2 from the atmosphere while beautifying the park dedicated to Congressman Lewis legacy.,"('Ecological_Impacts', 0.8549796342849731)","('Access_And_Affordability', 0.015175983309745789)","('Management_Of_Legal_And_Regulatory_Framework', 0.014635034836828709)","([], 0.8549796342849731)","('NON-ESG', 0.015175983309745789)","('NON-ESG', 0.014635034836828709)"
Line 160,This is the first of 14 planned projects with the Arbor Day Foundation.,"('Access_And_Affordability', 0.4233766496181488)","('Management_Of_Legal_And_Regulatory_Framework', 0.13652096688747406)","('Human_Rights_And_Community_Relations', 0.08795291185379028)","('NON-ESG', 0.4233766496181488)","('NON-ESG', 0.13652096688747406)","('NON-ESG', 0.08795291185379028)"
Line 161,"LEARN MORE Every person, regardless of geographic region or socio-economic class, deserves to breathe clean air, drink clean water and live in a safe and healthy environment.","('Water_And_Wastewater_Management', 0.4122215509414673)","('Ecological_Impacts', 0.21307599544525146)","('Human_Rights_And_Community_Relations', 0.055074892938137054)","('NON-ESG', 0.4122215509414673)","('NON-ESG', 0.21307599544525146)","('NON-ESG', 0.055074892938137054)"
Line 162,Being conscientious of how our personal actions might affect our neighbors is a first step to creating a more just and sustainable world.,"('Human_Rights_And_Community_Relations', 0.5196404457092285)","('Business_Model_Resilience', 0.1186685785651207)","('Product_Design_And_Lifecycle_Management', 0.06853584945201874)","(['Stakeholder Engagement'], 0.5196404457092285)","('NON-ESG', 0.1186685785651207)","('NON-ESG', 0.06853584945201874)"
Line 163,"Joe Ruiz Vice President Social Impact and The UPS Foundation 25Building a green memorial to honor 9/1 1 heroes Its a somber commemoration, but 2021 marked the 20th anniversary observance of the September 11th tragedy.","('Critical_Incident_Risk_Management', 0.534448504447937)","('Employee_Health_And_Safety', 0.26746517419815063)","('Access_And_Affordability', 0.029554996639490128)","(['Risk & Crisis Management'], 0.534448504447937)","('NON-ESG', 0.26746517419815063)","('NON-ESG', 0.029554996639490128)"
Line 164,The Flight 93 National Memorial is the nations only national park commemorating the events of 9/11.,"('Critical_Incident_Risk_Management', 0.48235851526260376)","('Employee_Health_And_Safety', 0.12538395822048187)","('Air_Quality', 0.04699944704771042)","('NON-ESG', 0.48235851526260376)","('NON-ESG', 0.12538395822048187)","('NON-ESG', 0.04699944704771042)"
Line 165,"Since 2012, The UPS Foundation, the National Park Foundation (NPF) and its local partners have worked together to plant thousands of trees in the park to restore the natural vibrancy of this reclaimed coal mine by creating a living, green memorial honoring those lost on 9/11.","('Employee_Health_And_Safety', 0.21900416910648346)","('Critical_Incident_Risk_Management', 0.18100720643997192)","('Human_Rights_And_Community_Relations', 0.1088455468416214)","('NON-ESG', 0.21900416910648346)","('NON-ESG', 0.18100720643997192)","('NON-ESG', 0.1088455468416214)"
Line 166,The UPS Foundation is the largest supporter of the Flight 93 National Memorial.,"('Employee_Health_And_Safety', 0.2098311483860016)","('Air_Quality', 0.08139468729496002)","('Employee_Engagement_Inclusion_And_Diversity', 0.08098065853118896)","('NON-ESG', 0.2098311483860016)","('NON-ESG', 0.08139468729496002)","('NON-ESG', 0.08098065853118896)"
Line 167,"UPS has planted more than 130,000 trees in memory of the 40 passengers and crew of the flight.","('Ecological_Impacts', 0.2543600797653198)","('Human_Rights_And_Community_Relations', 0.12080378830432892)","('Access_And_Affordability', 0.09891095012426376)","('NON-ESG', 0.2543600797653198)","('NON-ESG', 0.12080378830432892)","('NON-ESG', 0.09891095012426376)"
Line 168,"LEARN MORE Promoting sustainability in the worlds most biodiverse regions For 10 years, The UPS Foundation has funded significant reforestation projects in Africa, Asia, and Latin America through the World Wildlife Funds (WWF) Education for Nature Program.","('Ecological_Impacts', 0.967198371887207)","('GHG_Emissions', 0.005288439337164164)","('Human_Rights_And_Community_Relations', 0.0032984840217977762)","([], 0.967198371887207)","('NON-ESG', 0.005288439337164164)","('NON-ESG', 0.0032984840217977762)"
Line 169,"Working with local and indigenous community groups, non-governmental organizations, and academic institutions in key cities, biodiversity hotspots, and rural areas, the WWF has successfully focused on improving degraded lands, restoring watersheds, expanding forest cover, and enhancing socio-economic and cultural benefits.","('Human_Rights_And_Community_Relations', 0.5416261553764343)","('Ecological_Impacts', 0.34697359800338745)","('GHG_Emissions', 0.01500316709280014)","(['Stakeholder Engagement'], 0.5416261553764343)","('NON-ESG', 0.34697359800338745)","('NON-ESG', 0.01500316709280014)"
Line 170,"The improvements, such as supporting local ecotourism and beekeeping projects, have helped end poverty and promoted equal gender participation.","('Employee_Engagement_Inclusion_And_Diversity', 0.7131005525588989)","('Human_Rights_And_Community_Relations', 0.11129741370677948)","('Labor_Practices', 0.03874090686440468)","(['Talent Attraction & Retention'], 0.7131005525588989)","('NON-ESG', 0.11129741370677948)","('NON-ESG', 0.03874090686440468)"
Line 171,"Additionally, these restoration activities reduce vulnerability to disasters and restore habitats in biodiverse regions.","('Ecological_Impacts', 0.9775261878967285)","('GHG_Emissions', 0.0030242735520005226)","('Water_And_Wastewater_Management', 0.0016505974344909191)","([], 0.9775261878967285)","('NON-ESG', 0.0030242735520005226)","('NON-ESG', 0.0016505974344909191)"
Line 172,"LEARN MORE I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection 26Launching the Forest of the Future through carbon-free shipping at Expo 2020 Dubai As the Official Logistics Partner of the Expo 2020 Dubai, UPS demonstrated its commitment to innovation and addressing climate change by delivering one of the most sustainable expos in history.","('Physical_Impacts_Of_Climate_Change', 0.930339515209198)","('Business_Model_Resilience', 0.011826331727206707)","('Human_Rights_And_Community_Relations', 0.008259185589849949)","(['Climate Strategy'], 0.930339515209198)","('NON-ESG', 0.011826331727206707)","('NON-ESG', 0.008259185589849949)"
Line 173,Every package shipped in 2021 at the UPS Expo 2020 was transported carbon free.,"('Product_Design_And_Lifecycle_Management', 0.41720059514045715)","('Energy_Management', 0.25466710329055786)","('Management_Of_Legal_And_Regulatory_Framework', 0.06855057179927826)","('NON-ESG', 0.41720059514045715)","('NON-ESG', 0.25466710329055786)","('NON-ESG', 0.06855057179927826)"
Line 174,"With every package shipped, a tree was planted in the customers honor as part of the Forest of the Future initiative.","('Product_Design_And_Lifecycle_Management', 0.8097056746482849)","('Supply_Chain_Management', 0.015842916443943977)","('Waste_And_Hazardous_Materials_Management', 0.0158204548060894)","([], 0.8097056746482849)","('NON-ESG', 0.015842916443943977)","('NON-ESG', 0.0158204548060894)"
Line 175,"A total of 10,000 trees were pledged to be planted.","('Ecological_Impacts', 0.4580763876438141)","('Management_Of_Legal_And_Regulatory_Framework', 0.15269780158996582)","('Access_And_Affordability', 0.0729663297533989)","('NON-ESG', 0.4580763876438141)","('NON-ESG', 0.15269780158996582)","('NON-ESG', 0.0729663297533989)"
Line 176,"Customers had the option to choose planting their trees in the Indian subcontinent, The Middle East, Africa, or Asia.","('Product_Design_And_Lifecycle_Management', 0.14372661709785461)","('Customer_Welfare', 0.11816524714231491)","('Selling_Practices_And_Product_Labeling', 0.08602003753185272)","('NON-ESG', 0.14372661709785461)","('NON-ESG', 0.11816524714231491)","('NON-ESG', 0.08602003753185272)"
Line 177,UPS was also able to mitigate carbon dioxide emissions by purchasing the carbon offsets for each package shipped.,"('GHG_Emissions', 0.8777141571044922)","('Air_Quality', 0.030674509704113007)","('Management_Of_Legal_And_Regulatory_Framework', 0.014967728406190872)","(['Operational Eco-Efficiency'], 0.8777141571044922)","('NON-ESG', 0.030674509704113007)","('NON-ESG', 0.014967728406190872)"
Line 178,LEARN MORE Creating logistics tools to reach Net Zero faster The global logistics industry has an ambitious goal to reach zero emissions by 2050.,"('Energy_Management', 0.388051837682724)","('GHG_Emissions', 0.29852044582366943)","('Air_Quality', 0.17550501227378845)","('NON-ESG', 0.388051837682724)","('NON-ESG', 0.29852044582366943)","('NON-ESG', 0.17550501227378845)"
Line 179,"Smart Freight Centre (SFC), an international non-profit, is dedicated to reducing greenhouse gas emissions resulting from freight transportation.","('GHG_Emissions', 0.9692769050598145)","('Ecological_Impacts', 0.004743262659758329)","('Physical_Impacts_Of_Climate_Change', 0.002708703512325883)","(['Operational Eco-Efficiency'], 0.9692769050598145)","('NON-ESG', 0.004743262659758329)","('NON-ESG', 0.002708703512325883)"
Line 180,"With support from The UPS Foundation, SFC developed a logistics assessment tool, which helps multinational organizations to determine the maturity of their sustainable roadmap to improve their performance.","('Business_Model_Resilience', 0.37108317017555237)","('Supply_Chain_Management', 0.15992297232151031)","('Systemic_Risk_Management', 0.07484666258096695)","('NON-ESG', 0.37108317017555237)","('NON-ESG', 0.15992297232151031)","('NON-ESG', 0.07484666258096695)"
Line 181,"In 2021, 8 million tons of CO2 were removed from the atmosphere thanks to the tool.","('GHG_Emissions', 0.8902295231819153)","('Air_Quality', 0.02759101241827011)","('Ecological_Impacts', 0.012780913151800632)","(['Operational Eco-Efficiency'], 0.8902295231819153)","('NON-ESG', 0.02759101241827011)","('NON-ESG', 0.012780913151800632)"
Line 182,"SFC helped 34 organizations develop their Sustainable Logistics Roadmap, scale their decarbonizing efforts and train 341 logistics managers on reducing the environmental footprint of global supply chains.","('Supply_Chain_Management', 0.949700117111206)","('Product_Design_And_Lifecycle_Management', 0.007189868483692408)","('Physical_Impacts_Of_Climate_Change', 0.003755982266739011)","([], 0.949700117111206)","('NON-ESG', 0.007189868483692408)","('NON-ESG', 0.003755982266739011)"
Line 183,"LEARN MORE I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection 27Revitalizing ecosystems after devastating wildfires When a series of wildfires swept through Barranca de Tarango, they wiped out two years of reforestation efforts.","('Ecological_Impacts', 0.633103609085083)","('Human_Rights_And_Community_Relations', 0.1324356347322464)","('Physical_Impacts_Of_Climate_Change', 0.045025333762168884)","([], 0.633103609085083)","('NON-ESG', 0.1324356347322464)","('NON-ESG', 0.045025333762168884)"
Line 184,The fires left the soil unsuitable for tree planting in one of Mexico Citys last natural areas.,"('Ecological_Impacts', 0.9610123038291931)","('Water_And_Wastewater_Management', 0.005619794595986605)","('GHG_Emissions', 0.0043440465815365314)","([], 0.9610123038291931)","('NON-ESG', 0.005619794595986605)","('NON-ESG', 0.0043440465815365314)"
Line 185,The UPS Foundation and UPS volunteers joined Ectagano in creating a pollinator trail in the devastated landscape.,"('Ecological_Impacts', 0.8016427755355835)","('GHG_Emissions', 0.027244817465543747)","('Competitive_Behavior', 0.022122172638773918)","([], 0.8016427755355835)","('NON-ESG', 0.027244817465543747)","('NON-ESG', 0.022122172638773918)"
Line 186,"By planting 240 species of plants that will attract pollinators, seeds and pollen will disperse more rapidly and strengthen the ecosystems regeneration.","('Ecological_Impacts', 0.9590961933135986)","('GHG_Emissions', 0.005000774282962084)","('Management_Of_Legal_And_Regulatory_Framework', 0.003528036642819643)","([], 0.9590961933135986)","('NON-ESG', 0.005000774282962084)","('NON-ESG', 0.003528036642819643)"
Line 187,This is the first step in a long-term strategy to restore Barranca de Tarango and support the communal health and quality of life for its citizens.,"('Employee_Health_And_Safety', 0.6875633001327515)","('Access_And_Affordability', 0.07664892822504044)","('Ecological_Impacts', 0.035744309425354004)","(['Occupational Health & Safety'], 0.6875633001327515)","('NON-ESG', 0.07664892822504044)","('NON-ESG', 0.035744309425354004)"
Line 188,Inspiring the next generation of conservation leaders The Student Conservation Association (SCA) is committed to fighting climate change injustices by providing youth with employment and volunteer opportunities in Americas parks and public lands.,"('Physical_Impacts_Of_Climate_Change', 0.8884170651435852)","('GHG_Emissions', 0.021579483523964882)","('Business_Model_Resilience', 0.013674282468855381)","(['Climate Strategy'], 0.8884170651435852)","('NON-ESG', 0.021579483523964882)","('NON-ESG', 0.013674282468855381)"
Line 189,"SCA is building a green-minded, job-ready workforce that will help create more resilient cities.","('Business_Model_Resilience', 0.8115596771240234)","('Product_Design_And_Lifecycle_Management', 0.026101889088749886)","('Employee_Engagement_Inclusion_And_Diversity', 0.021302111446857452)","([], 0.8115596771240234)","('NON-ESG', 0.026101889088749886)","('NON-ESG', 0.021302111446857452)"
Line 190,"In 2021, The UPS Foundation funded the expansion of the Community Crews program to Atlanta, Georgia where Black students were hired to work on projects such as invasive species removal, habitat restoration, litter abatement, resurfacing gardens, fencing and trail work.","('Ecological_Impacts', 0.9774603843688965)","('GHG_Emissions', 0.0036918106488883495)","('Water_And_Wastewater_Management', 0.00211735931225121)","([], 0.9774603843688965)","('NON-ESG', 0.0036918106488883495)","('NON-ESG', 0.00211735931225121)"
Line 191,This partnership has helped approximately 500 youth across ten U.,"('Access_And_Affordability', 0.5927522778511047)","('Employee_Engagement_Inclusion_And_Diversity', 0.10630293935537338)","('Human_Rights_And_Community_Relations', 0.07490525394678116)","([], 0.5927522778511047)","('NON-ESG', 0.10630293935537338)","('NON-ESG', 0.07490525394678116)"
Line 192,"S. cities gain valuable work experience, earn wages, and build skills for lifelong success all while serving their local communities.","('Labor_Practices', 0.8819575905799866)","('Human_Rights_And_Community_Relations', 0.02196492627263069)","('Employee_Engagement_Inclusion_And_Diversity', 0.018606871366500854)","([], 0.8819575905799866)","('NON-ESG', 0.02196492627263069)","('NON-ESG', 0.018606871366500854)"
Line 193,"I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection 282021 Trustees And Staff of The UPS Foundation The UPS Foundations Board of Trustees reviews and approves The UPS Foundation philanthropic budget, grants and programs.","('Human_Rights_And_Community_Relations', 0.8792441487312317)","('Access_And_Affordability', 0.04216023162007332)","('Management_Of_Legal_And_Regulatory_Framework', 0.00995800644159317)","(['Stakeholder Engagement'], 0.8792441487312317)","('NON-ESG', 0.04216023162007332)","('NON-ESG', 0.00995800644159317)"
Line 194,The UPS Foundation staff manages strategic partnerships with global nonprofits/NGOs and engages with UPS employees around the world to advance our sustainability agenda and connect to our people and our global logistics business.,"('Management_Of_Legal_And_Regulatory_Framework', 0.27049490809440613)","('Human_Rights_And_Community_Relations', 0.15678516030311584)","('Access_And_Affordability', 0.07302022725343704)","('NON-ESG', 0.27049490809440613)","('NON-ESG', 0.15678516030311584)","('NON-ESG', 0.07302022725343704)"
Line 195,Carol B.,"('Employee_Engagement_Inclusion_And_Diversity', 0.13297367095947266)","('Management_Of_Legal_And_Regulatory_Framework', 0.13167186081409454)","('Waste_And_Hazardous_Materials_Management', 0.08954468369483948)","('NON-ESG', 0.13297367095947266)","('NON-ESG', 0.13167186081409454)","('NON-ESG', 0.08954468369483948)"
Line 196,"Tome Chief Executive Officer Board Secretary Laura Lane Chief Corporate Affairs Officer Board Chair Charlene Thomas Chief Diversity, Equity and Inclusion Officer Kevin Warren Chief Marketing Officer Nando Cesarone President, U.","('Employee_Engagement_Inclusion_And_Diversity', 0.9670992493629456)","('Human_Rights_And_Community_Relations', 0.0031847155187278986)","('Business_Model_Resilience', 0.0022876057773828506)","(['Talent Attraction & Retention'], 0.9670992493629456)","('NON-ESG', 0.0031847155187278986)","('NON-ESG', 0.0022876057773828506)"
Line 197,"S. Operations Norman Brothers Chief Legal and Compliance Officer Scott Price President, UPS International (Retired 2022)Nikki Clifton President Esther Ndichu Vice President Joe Ruiz Vice President Cathy Scott Vice President Noy Bozarth Director LaKerri Jackson Director LaShunda Campbell ManagerAlice Turner Manager Lacey Lanker Supervisor Lakenya Turner Supervisor Sally Wolff Supervisor Elizabeth Carter Fellow Elena Abbott Program Intern 292021 Trustees and Staff of The UPS Foundation The UPS Foundations Expert on Mission program deploys UPS skilled executive volunteers with supply chain and road safety expertise to increase the capacity of our partner agencies to serve more of those in need.","('Management_Of_Legal_And_Regulatory_Framework', 0.7579225301742554)","('Business_Ethics', 0.08207236230373383)","('Director_Removal', 0.03228020668029785)","([], 0.7579225301742554)","('NON-ESG', 0.08207236230373383)","('NON-ESG', 0.03228020668029785)"
Line 198,"S. Operations Norman Brothers Chief Legal and Compliance Officer Scott Price President, UPS International (Retired 2022)Nikki Clifton President Esther Ndichu Vice President Joe Ruiz Vice President Cathy Scott Vice President Noy Bozarth Director LaKerri Jackson Director LaShunda Campbell ManagerAlice Turner Manager Lacey Lanker Supervisor Lakenya Turner Supervisor Sally Wolff Supervisor Elizabeth Carter Fellow Elena Abbott Program Intern 292021 Trustees and Staff of The UPS Foundation The UPS Foundations Expert on Mission program deploys UPS skilled executive volunteers with supply chain and road safety expertise to increase the capacity of our partner agencies to serve more of those in need.","('Supply_Chain_Management', 0.8825218081474304)","('Employee_Health_And_Safety', 0.016383346170186996)","('Critical_Incident_Risk_Management', 0.012330552563071251)","([], 0.8825218081474304)","('NON-ESG', 0.016383346170186996)","('NON-ESG', 0.012330552563071251)"
Line 199,"Executives on Loan:The UPS Foundation is supported by local community relations managers who strengthen connections with our customers, shareholders, and employees everywhere that UPS employees live and work around the world.","('Employee_Engagement_Inclusion_And_Diversity', 0.4554183781147003)","('Human_Rights_And_Community_Relations', 0.15244141221046448)","('Business_Model_Resilience', 0.06298866122961044)","('NON-ESG', 0.4554183781147003)","('NON-ESG', 0.15244141221046448)","('NON-ESG', 0.06298866122961044)"
Line 200,"Bassey Anari with Ministries of Health supporting vaccine delivery and donations of ultra-cold freezers and other humanitarian shipments in Ghana, Nigeria, Kenya and other African countries Jim Coughlan with various organizations including USAID, Gavi, FEMA, U.","('Critical_Incident_Risk_Management', 0.3634682297706604)","('Access_And_Affordability', 0.1491565853357315)","('Air_Quality', 0.07380513846874237)","('NON-ESG', 0.3634682297706604)","('NON-ESG', 0.1491565853357315)","('NON-ESG', 0.07380513846874237)"
Line 201,"S. Department of Health and Human Services (HHS) and Global Covid Corps Dan Keim with CARE, Salvation Army, Private Sector Roundtable and Africa Resource Centre Trish Spangler with UPS Road Code and UPS Global Road Safety partners including Boys & Girls Clubs of America Hans-Peter Teufers with UNICEF, World Food Programme (WFP), United Nations High Commissioner for Refugees (UNHCR), International Federation Red Cross (IFRC) and United Nations Office for Disaster Risk Reduction (UNDRR) Justin Heckel KY and Mid South U.","('Critical_Incident_Risk_Management', 0.8543533682823181)","('Employee_Health_And_Safety', 0.09738849103450775)","('Access_And_Affordability', 0.005964438430964947)","(['Risk & Crisis Management'], 0.8543533682823181)","('NON-ESG', 0.09738849103450775)","('NON-ESG', 0.005964438430964947)"
Line 202,"S. Department of Health and Human Services (HHS) and Global Covid Corps Dan Keim with CARE, Salvation Army, Private Sector Roundtable and Africa Resource Centre Trish Spangler with UPS Road Code and UPS Global Road Safety partners including Boys & Girls Clubs of America Hans-Peter Teufers with UNICEF, World Food Programme (WFP), United Nations High Commissioner for Refugees (UNHCR), International Federation Red Cross (IFRC) and United Nations Office for Disaster Risk Reduction (UNDRR) Justin Heckel KY and Mid South U.","('Ecological_Impacts', 0.16138288378715515)","('Human_Rights_And_Community_Relations', 0.13369032740592957)","('Management_Of_Legal_And_Regulatory_Framework', 0.09059262275695801)","('NON-ESG', 0.16138288378715515)","('NON-ESG', 0.13369032740592957)","('NON-ESG', 0.09059262275695801)"
Line 203,S.Maritza Ramos Southwest U.,"('Ecological_Impacts', 0.4764787256717682)","('Competitive_Behavior', 0.0541529506444931)","('Business_Model_Resilience', 0.046547528356313705)","('NON-ESG', 0.4764787256717682)","('NON-ESG', 0.0541529506444931)","('NON-ESG', 0.046547528356313705)"
Line 204,S. Nicolo Sgreva Europe Region Patrick Smith GA and Southeast U.,"('Management_Of_Legal_And_Regulatory_Framework', 0.18245743215084076)","('Business_Model_Resilience', 0.13697798550128937)","('Competitive_Behavior', 0.10927747935056686)","('NON-ESG', 0.18245743215084076)","('NON-ESG', 0.13697798550128937)","('NON-ESG', 0.10927747935056686)"
Line 205,S. Whilna Stewart-Franklin Canada Erika Vargas Mexico and Latin America Region Amber Whitcomb Northeast U.,"('Business_Model_Resilience', 0.20290431380271912)","('Management_Of_Legal_And_Regulatory_Framework', 0.1248663142323494)","('Ecological_Impacts', 0.12187477946281433)","('NON-ESG', 0.20290431380271912)","('NON-ESG', 0.1248663142323494)","('NON-ESG', 0.12187477946281433)"
Line 206,S. Angela Wu Asia Region Rosemary Hughes Mid Atlantic U.,"('Business_Model_Resilience', 0.18125613033771515)","('Management_Of_Legal_And_Regulatory_Framework', 0.1665177345275879)","('Competitive_Behavior', 0.10897403210401535)","('NON-ESG', 0.18125613033771515)","('NON-ESG', 0.1665177345275879)","('NON-ESG', 0.10897403210401535)"
Line 207,S. Laura James East Region U.,"('Business_Model_Resilience', 0.1795945018529892)","('Management_Of_Legal_And_Regulatory_Framework', 0.1266653686761856)","('Human_Rights_And_Community_Relations', 0.08331026881933212)","('NON-ESG', 0.1795945018529892)","('NON-ESG', 0.1266653686761856)","('NON-ESG', 0.08331026881933212)"
Line 208,S. Kate Kane Northwest U.,"('Ecological_Impacts', 0.4856315553188324)","('Human_Rights_And_Community_Relations', 0.08193424344062805)","('Management_Of_Legal_And_Regulatory_Framework', 0.05220460891723633)","('NON-ESG', 0.4856315553188324)","('NON-ESG', 0.08193424344062805)","('NON-ESG', 0.05220460891723633)"
Line 209,"S. Caroline Kiunga India, Middle East, Africa Region Toy Ann McCray Midwest U.","('Management_Of_Legal_And_Regulatory_Framework', 0.24326513707637787)","('Business_Model_Resilience', 0.11881906539201736)","('Ecological_Impacts', 0.08012092113494873)","('NON-ESG', 0.24326513707637787)","('NON-ESG', 0.11881906539201736)","('NON-ESG', 0.08012092113494873)"
Line 210,S. Leo Ramirez West Region U.,"('Business_Model_Resilience', 0.18326100707054138)","('Management_Of_Legal_And_Regulatory_Framework', 0.09757952392101288)","('Ecological_Impacts', 0.08760382980108261)","('NON-ESG', 0.18326100707054138)","('NON-ESG', 0.09757952392101288)","('NON-ESG', 0.08760382980108261)"
Line 211,"S. 30 2022 United Parcel Service of America, Inc.","('Management_Of_Legal_And_Regulatory_Framework', 0.29632389545440674)","('Competitive_Behavior', 0.1015288382768631)","('Customer_Privacy', 0.06706761568784714)","('NON-ESG', 0.29632389545440674)","('NON-ESG', 0.1015288382768631)","('NON-ESG', 0.06706761568784714)"
Line 212,"UPS, the UPS brandmark, the color brown are trademarks of United Parcel Service of America, Inc.","('Competitive_Behavior', 0.2522909939289093)","('Product_Design_And_Lifecycle_Management', 0.10204588621854782)","('Selling_Practices_And_Product_Labeling', 0.07994888722896576)","('NON-ESG', 0.2522909939289093)","('NON-ESG', 0.10204588621854782)","('NON-ESG', 0.07994888722896576)"
Line 213,All rights reserved.,"('Customer_Privacy', 0.18397872149944305)","('Human_Rights_And_Community_Relations', 0.07860073447227478)","('Waste_And_Hazardous_Materials_Management', 0.07202215492725372)","('NON-ESG', 0.18397872149944305)","('NON-ESG', 0.07860073447227478)","('NON-ESG', 0.07202215492725372)"
